METHOD,SCALE,TIME
CRBM,100,133.11
CRBM,400,142.22
CRBM,1600,178.38
CRBM,6400,482.83
CRBM,25600,1709.55
CRBM,102400,6347.69
CRBM,409600,24480.50
CRBM,1638400,81859.87
Genomator,100,1.49
Genomator,400,1.65
Genomator,1600,3.86
Genomator,6400,26.28
Genomator,25600,273.51
Genomator,102400,1502.41
Genomator,409600,1067.95
Genomator,1638400,14283.73
Markov,100,2.88
Markov,400,23.82
Markov,1600,109.49
Markov,6400,470.26
Markov,25600,1856.99
Markov,102400,8055.63
Markov,409600,32301.40
Markov,1638400,129146.67
